Market,Singles (millions),Albums (millions),DVDs (millions),VHS cassettes (millions),Total units (millions),Retail value  US $ (millions),Population (millions)
Market,Singles (millions),Albums (millions),DVDs (millions),VHS cassettes (millions),Total units (millions),Retail value  US $ (millions),Population (millions)
aaa,0,0,0,0,0,0,0
aaa,0,0,0,0,0,0,0
US,1.2,292.8,11.5,0.6,306,"4,562",307.2
US,1.2,292.8,11.5,0.6,306,"4,562",307.2
Japan,43.6,125,19,0.01,187.6,"4,244.5",127.1
Japan,43.6,125,19,0.01,187.6,"4,244.5",127.1
Germany,4.7,103.3,8.9,,116.9,"1,945.8",82.3
Germany,4.7,103.3,8.9,,116.9,"1,945.8",82.3
UK,4.2,119.4,5.0,,128.6,"1,730.5",61.1
UK,4.2,119.4,5.0,,128.6,"1,730.5",61.1
France,2.8,51,3.4,,57.2,"1,157.5",64.1
France,2.8,51,3.4,,57.2,"1,157.5",64.1
Australia,0.6,29.4,4,0.002,34,456.2,22
Australia,0.6,29.4,4,0.002,34,456.2,22
Canada,,30.8,2.3,,33.1,401.6,33.5
Canada,,30.8,2.3,,33.1,401.6,33.5
The Netherlands,0.7,17.8,2.8,,21.3,340.6,16.6
The Netherlands,0.7,17.8,2.8,,21.3,340.6,16.6
Italy,0.6,16.6,0.7,0.01,17.9,293.8,58.1
Italy,0.6,16.6,0.7,0.01,17.9,293.8,58.1
Spain,0.02,15.2,4,0.01,19.2,266.8,46.7
Spain,0.02,15.2,4,0.01,19.2,266.8,46.7
Brazil,0.002,22.8,6.0,,28.8,246.9,198.7
Brazil,0.002,22.8,6.0,,28.8,246.9,198.7
Austria,0.4,8.4,0.8,,9.6,225.7,8.2
Austria,0.4,8.4,0.8,,9.6,225.7,8.2
Belgium,0.3,10.7,0.8,,11.8,202.9,10.4
Belgium,0.3,10.7,0.8,,11.8,202.9,10.4
Switzerland,0.1,9.8,0.3,0.0001,10.2,192.4,7.6
Switzerland,0.1,9.8,0.3,0.0001,10.2,192.4,7.6
South Africa,0.3,17.1,2,0.002,19.4,162.8,49.1
South Africa,0.3,17.1,2,0.002,19.4,162.8,49.1
Sweden,0.5,13.6,0.4,0.001,14.5,162.3,90.1
Sweden,0.5,13.6,0.4,0.001,14.5,162.3,90.1
Mexico,0.03,22.1,1.6,,23.7,160.3,111.2
Mexico,0.03,22.1,1.6,,23.7,160.3,111.2
Norway,0.02,8.3,0.3,,8.6,159.9,4.7
Norway,0.02,8.3,0.3,,8.6,159.9,4.7
Denmark,0.01,6.8,0.1,,6.9,126.9,5.5
Denmark,0.01,6.8,0.1,,6.9,126.9,5.5
Poland,0.02,10.2,1.3,,11.5,123.28,38.5
Poland,0.02,10.2,1.3,,11.5,123.28,38.5
Greece,0.03,6.2,0.2,,6.4,107.2,10.7
Greece,0.03,6.2,0.2,,6.4,107.2,10.7
Finland,0.1,5.1,0.3,,5.5,98.3,5.3
Finland,0.1,5.1,0.3,,5.5,98.3,5.3
South Korea,0.01,8.8,0.2,,9,93.3,48.5
South Korea,0.01,8.8,0.2,,9,93.3,48.5
India,,33.4,0.3,,33.7,89.7,"1,166.1"
India,,33.4,0.3,,33.7,89.7,"1,166.1"
Argentina,0.004,10.7,1.3,,12,89.2,40.9
Argentina,0.004,10.7,1.3,,12,89.2,40.9
Ireland,0.2,6.3,0.2,,6.7,87.7,4.2
Ireland,0.2,6.3,0.2,,6.7,87.7,4.2
Turkey,,10.3,,,10.3,80.7,76.8
Turkey,,10.3,,,10.3,80.7,76.8
Portugal,0.04,6.3,0.6,,6.9,71.1,10.7
Portugal,0.04,6.3,0.6,,6.9,71.1,10.7
New Zealand,0.01,4.6,0.6,,5.2,69.1,4.2
New Zealand,0.01,4.6,0.6,,5.2,69.1,4.2
Taiwan,0.3,3.9,0.6,,4.8,53.9,23
Taiwan,0.3,3.9,0.6,,4.8,53.9,23
Thailand,,4.6,6.8,,11.4,49.8,65.9
Thailand,,4.6,6.8,,11.4,49.8,65.9
Czech Republic,,8.8,,,8.8,44.7,10.2
Czech Republic,,8.8,,,8.8,44.7,10.2
Hong Kong,0.1,2.7,0.4,,3.2,42.7,7.1
Hong Kong,0.1,2.7,0.4,,3.2,42.7,7.1
Venezuela,,1.2,0.4,,1.6,32.5,26.8
Venezuela,,1.2,0.4,,1.6,32.5,26.8
Indonesia,,7.6,3,,10.6,31.3,240.3
Indonesia,,7.6,3,,10.6,31.3,240.3
Hungary,0.03,3.6,0.1,0.0003,3.7,31.2,9.9
Hungary,0.03,3.6,0.1,0.0003,3.7,31.2,9.9
Colombia,,2.3,0.2,,2.5,30.1,45.6
Colombia,,2.3,0.2,,2.5,30.1,45.6
China,,4.2,0.8,,5,28.8,"1,338.6"
China,,4.2,0.8,,5,28.8,"1,338.6"
Malaysia,0.001,2.5,0.6,,3.1,27.2,25.7
Malaysia,0.001,2.5,0.6,,3.1,27.2,25.7
Philippines,0.1,2.5,0.4,,3,18.1,98
Philippines,0.1,2.5,0.4,,3,18.1,98
Singapore,0.01,1.6,0.1,,1.7,18.1,4.7
Singapore,0.01,1.6,0.1,,1.7,18.1,4.7
Croatia,0.001,2.4,0.1,0.0001,2.5,13.9,4.5
Croatia,0.001,2.4,0.1,0.0001,2.5,13.9,4.5
Chile,,0.9,0.1,,1,13.7,16.6
Chile,,0.9,0.1,,1,13.7,16.6
Slovak Republic,,1.4,0.1,,1.5,8.3,5.5
Slovak Republic,,1.4,0.1,,1.5,8.3,5.5
Central America,,0.5,0.02,,0.5,8.1,24.2
Central America,,0.5,0.02,,0.5,8.1,24.2
Uruguay,,0.5,0.1,,0.6,7.4,3.5
Uruguay,,0.5,0.1,,0.6,7.4,3.5
Bulgaria,0.0001,0.6,0.03,,0.6,4.6,7.2
Bulgaria,0.0001,0.6,0.03,,0.6,4.6,7.2
Peru,,0.1,0.02,,0.1,2.3,29.5
Peru,,0.1,0.02,,0.1,2.3,29.5
Ecuador,,0.2,0.01,,0.2,2,14.6
Ecuador,,0.2,0.01,,0.2,2,14.6
